Paket,Startzeit,Endzeit,Data,
259,0.659540301319822,0.659800717986489,191,
260,0.66054420529143,0.660804621958096,239,
261,0.661541197263233,0.661801613929899,191,
262,0.662554189234584,0.66281460590125,239,
263,0.663541069206673,0.663801485873339,239,
264,0.664544077178306,0.664804493844972,191,
265,0.665539917150141,0.665800333816808,239,
266,0.666553933121463,0.66681434978813,239,
267,0.667539917093578,0.667800333760244,191,
268,0.668543821065185,0.668804237731852,239,
269,0.669540685036992,0.669801101703658,191,
270,0.670552653008372,0.670813069675038,239,
271,0.671540684980428,0.671801101647095,239,
272,0.672550604951866,0.672811021618532,1,
273,0.672852556943326,0.673112973609992,0,
274,0.673154508934786,0.673414925601453,7,
275,0.674519244896189,0.674779661562855,0,
276,0.775538250039176,0.775798666705843,191,
277,0.776541002010816,0.776801418677483,239,
278,0.777537993982619,0.777798410649286,239,
279,0.778548937954028,0.778809354620694,191,
280,0.779537865926059,0.779798282592726,239,
281,0.780541769897667,0.780802186564333,239,
282,0.781537737869499,0.781798154536165,191,
283,0.782548681840908,0.782809098507574,239,
284,0.783537609812939,0.783798026479605,191,
285,0.784540617784572,0.784801034451238,239,
286,0.785537481756379,0.785797898423045,239,
287,0.786549449727758,0.786809866394425,191,
288,0.787537353699818,0.787797770366485,239,
289,0.78903930565734,0.789299722324007,239,
290,0.790611145612885,0.790871562279552,191,
291,0.791537097586698,0.791797514253364,239,
292,0.792541129558302,0.792801546224968,191,
293,0.793537097530134,0.7937975141968,239,
294,0.794549961501488,0.794810378168155,239,
295,0.795536969473574,0.79579738614024,191,
296,0.796540873445181,0.796801290111848,239,
297,0.797537865416984,0.797798282083651,239,
298,0.798548681388397,0.798809098055063,191,
299,0.799536713360453,0.79979713002712,239,
300,0.800540617332061,0.800801033998727,191,
301,0.801537609303864,0.80179802597053,239,
302,0.802549577275244,0.80280999394191,239,
303,0.803536457247333,0.803796873913999,191,
304,0.80454036121894,0.804800777885607,239,
305,0.805537353190743,0.80579776985741,239,
306,0.806548297162152,0.806808713828818,191,
307,0.807537225134183,0.80779764180085,239,
308,0.80854010510582,0.808800521772486,191,
309,0.809537097077623,0.809797513744289,239,
310,0.810549065049003,0.810809481715669,239,
311,0.811536969021063,0.811797385687729,191,
312,0.812539976992696,0.812800393659362,239,
313,0.813536840964503,0.813797257631169,239,
314,0.814517832936758,0.814778249603425,191,
315,0.815536712907942,0.815797129574609,239,
316,0.816540744879546,0.816801161546213,191,
317,0.817537608851353,0.81779802551802,239,
318,0.818548552822762,0.818808969489428,239,
319,0.819536456794822,0.819796873461488,191,
320,0.820540488766426,0.820800905433092,239,
321,0.821537480738229,0.821797897404895,239,
322,0.822550344709583,0.82281076137625,191,
323,0.823537224681672,0.823797641348339,239,
324,0.824539208653334,0.824799625320001,191,
325,0.825536200625137,0.825796617291804,239,
326,0.826549064596492,0.826809481263158,239,
327,0.827544008568353,0.827804425235019,1,
328,0.827846088559809,0.828106505226476,0,
329,0.82814804055127,0.828408457217936,7,
330,0.829008072526946,0.829268489193613,0,
